"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2023","0.7854","0.7922","0.8001","0.7795","","-0.83%"
"01/11/2023","0.7920","0.8227","0.8268","0.7853","","-3.73%"
"01/10/2023","0.8227","0.8196","0.8308","0.8105","","0.38%"
"01/09/2023","0.8196","0.7890","0.8258","0.7866","","3.90%"
"01/08/2023","0.7888","0.7789","0.7970","0.7786","","1.27%"
"01/07/2023","0.7789","0.7882","0.7901","0.7607","","-1.02%"
"01/06/2023","0.7869","0.8038","0.8086","0.7782","","-2.09%"
"01/05/2023","0.8037","0.7958","0.8125","0.7886","","0.98%"
"01/04/2023","0.7959","0.8111","0.8148","0.7946","","-1.81%"
"01/03/2023","0.8106","0.8318","0.8472","0.8049","","-2.54%"
"01/02/2023","0.8317","0.8117","0.8393","0.8064","","2.48%"
"01/01/2023","0.8116","0.8266","0.8446","0.8033","","-1.79%"
"01/12/2022","0.8264","0.8295","0.8339","0.8033","","-0.35%"
"01/11/2022","0.8293","0.8718","0.8971","0.8227","","-4.86%"
"01/10/2022","0.8717","0.8960","0.9154","0.8586","","-2.68%"
"01/09/2022","0.8957","0.8604","0.9630","0.8518","","4.13%"
"01/08/2022","0.8602","0.8220","0.8622","0.8134","","4.67%"
"01/07/2022","0.8218","0.8212","0.8504","0.8166","","0.09%"
"01/06/2022","0.8211","0.7934","0.8380","0.7925","","3.49%"
"01/05/2022","0.7934","0.7944","0.8227","0.7894","","-0.23%"
"01/04/2022","0.7952","0.7612","0.8058","0.7594","","4.47%"
"01/03/2022","0.7612","0.7451","0.7693","0.7441","","2.17%"
"01/02/2022","0.7450","0.7437","0.7535","0.7329","","0.22%"
"01/01/2022","0.7434","0.7390","0.7487","0.7272","","0.61%"
"01/12/2021","0.7389","0.7519","0.7595","0.7380","","-1.72%"
"01/11/2021","0.7518","0.7308","0.7579","0.7300","","2.96%"
"01/10/2021","0.7302","0.7423","0.7444","0.7228","","-1.60%"
"01/09/2021","0.7421","0.7271","0.7456","0.7187","","2.11%"
"01/08/2021","0.7268","0.7194","0.7352","0.7164","","1.06%"
"01/07/2021","0.7192","0.7231","0.7369","0.7151","","-0.53%"
"01/06/2021","0.7230","0.7036","0.7254","0.7018","","2.77%"
"01/05/2021","0.7035","0.7232","0.7247","0.7025","","-2.79%"
"01/04/2021","0.7237","0.7256","0.7316","0.7138","","-0.23%"
"01/03/2021","0.7254","0.7174","0.7315","0.7134","","1.09%"
"01/02/2021","0.7176","0.7292","0.7371","0.7024","","-1.67%"
"01/01/2021","0.7298","0.7314","0.7434","0.7266","","-0.18%"
"01/12/2020","0.7311","0.7505","0.7613","0.7307","","-2.58%"
"01/11/2020","0.7505","0.7724","0.7780","0.7463","","-2.85%"
"01/10/2020","0.7725","0.7741","0.7801","0.7588","","-0.17%"
"01/09/2020","0.7738","0.7481","0.7890","0.7416","","3.49%"
"01/08/2020","0.7477","0.7637","0.7704","0.7465","","-2.15%"
"01/07/2020","0.7641","0.8064","0.8092","0.7592","","-5.23%"
"01/06/2020","0.8063","0.8105","0.8163","0.7804","","-0.43%"
"01/05/2020","0.8098","0.7937","0.8281","0.7935","","2.00%"
"01/04/2020","0.7939","0.8045","0.8221","0.7907","","-1.39%"
"01/03/2020","0.8051","0.7813","0.8765","0.7575","","3.23%"
"01/02/2020","0.7799","0.7566","0.7858","0.7566","","2.97%"
"01/01/2020","0.7574","0.7541","0.7721","0.7533","","0.52%"
"01/12/2019","0.7535","0.7742","0.7755","0.7398","","-2.54%"
"01/11/2019","0.7731","0.7728","0.7832","0.7700","","0.06%"
"01/10/2019","0.7726","0.8137","0.8200","0.7684","","-5.02%"
"01/09/2019","0.8134","0.8231","0.8363","0.7947","","-1.09%"
"01/08/2019","0.8224","0.8227","0.8323","0.8123","","0.01%"
"01/07/2019","0.8223","0.7877","0.8252","0.7869","","4.41%"
"01/06/2019","0.7876","0.7919","0.7997","0.7822","","-0.47%"
"01/05/2019","0.7913","0.7673","0.7963","0.7584","","3.15%"
"01/04/2019","0.7671","0.7670","0.7773","0.7577","","-0.01%"
"01/03/2019","0.7672","0.7540","0.7724","0.7471","","1.76%"
"01/02/2019","0.7539","0.7628","0.7829","0.7491","","-1.15%"
"01/01/2019","0.7627","0.7836","0.8040","0.7566","","-2.67%"
"01/12/2018","0.7836","0.7832","0.8015","0.7788","","-0.01%"
"01/11/2018","0.7837","0.7833","0.7859","0.7589","","0.05%"
"01/10/2018","0.7833","0.7674","0.7877","0.7541","","2.09%"
"01/09/2018","0.7673","0.7710","0.7822","0.7519","","-0.51%"
"01/08/2018","0.7712","0.7617","0.7898","0.7607","","1.25%"
"01/07/2018","0.7617","0.7587","0.7718","0.7483","","0.62%"
"01/06/2018","0.7570","0.7519","0.7663","0.7422","","0.71%"
"01/05/2018","0.7517","0.7267","0.7574","0.7260","","3.54%"
"01/04/2018","0.7260","0.7127","0.7293","0.6955","","1.78%"
"01/03/2018","0.7133","0.7267","0.7293","0.7020","","-1.83%"
"01/02/2018","0.7266","0.7046","0.7269","0.7003","","3.14%"
"01/01/2018","0.7045","0.7400","0.7431","0.6971","","-4.77%"
"01/12/2017","0.7398","0.7394","0.7518","0.7380","","0.08%"
"01/11/2017","0.7392","0.7529","0.7669","0.7380","","-1.81%"
"01/10/2017","0.7528","0.7469","0.7677","0.7461","","0.86%"
"01/09/2017","0.7464","0.7734","0.7750","0.7322","","-3.48%"
"01/08/2017","0.7733","0.7567","0.7829","0.7538","","2.19%"
"01/07/2017","0.7567","0.7683","0.7807","0.7562","","-1.41%"
"01/06/2017","0.7675","0.7758","0.7944","0.7674","","-1.06%"
"01/05/2017","0.7757","0.7721","0.7832","0.7663","","0.49%"
"01/04/2017","0.7719","0.7974","0.8088","0.7711","","-3.08%"
"01/03/2017","0.7964","0.8077","0.8259","0.7926","","-1.40%"
"01/02/2017","0.8077","0.7948","0.8099","0.7869","","1.62%"
"01/01/2017","0.7948","0.8101","0.8346","0.7890","","-1.91%"
"01/12/2016","0.8103","0.7997","0.8198","0.7827","","1.35%"
"01/11/2016","0.7995","0.8167","0.8193","0.7890","","-2.09%"
"01/10/2016","0.8166","0.7725","0.8461","0.7722","","5.98%"
"01/09/2016","0.7705","0.7610","0.7744","0.7437","","1.24%"
"01/08/2016","0.7611","0.7555","0.7773","0.7478","","0.67%"
"01/07/2016","0.7560","0.7513","0.7814","0.7417","","0.65%"
"01/06/2016","0.7511","0.6908","0.7622","0.6658","","8.74%"
"01/05/2016","0.6907","0.6844","0.6977","0.6770","","0.95%"
"01/04/2016","0.6842","0.6963","0.7140","0.6816","","-1.71%"
"01/03/2016","0.6961","0.7185","0.7193","0.6889","","-3.12%"
"01/02/2016","0.7185","0.7023","0.7228","0.6816","","2.38%"
"01/01/2016","0.7018","0.6786","0.7102","0.6750","","3.45%"
"01/12/2015","0.6784","0.6642","0.6792","0.6561","","2.15%"
"01/11/2015","0.6641","0.6473","0.6670","0.6453","","2.47%"
"01/10/2015","0.6481","0.6610","0.6619","0.6447","","-1.94%"
"01/09/2015","0.6609","0.6518","0.6619","0.6386","","1.41%"
"01/08/2015","0.6517","0.6398","0.6521","0.6321","","1.83%"
"01/07/2015","0.6400","0.6365","0.6524","0.6355","","0.57%"
"01/06/2015","0.6364","0.6539","0.6592","0.6277","","-2.68%"
"01/05/2015","0.6539","0.6514","0.6627","0.6323","","0.40%"
"01/04/2015","0.6513","0.6749","0.6866","0.6453","","-3.48%"
"01/03/2015","0.6748","0.6476","0.6833","0.6473","","4.17%"
